index,time,exe_time,planning
1,0.009116411209106445,0.0018575191497802734,gp
2,0.011804819107055664,0.0014717578887939453,gp
3,0.022565603256225586,0.0014483928680419922,gp
4,0.03147006034851074,0.0013759136199951172,gp
5,0.04332232475280762,0.0031843185424804688,gp
6,0.05331540107727051,0.0031859874725341797,gp
7,0.06178569793701172,0.001653909683227539,gp
8,0.07158470153808594,0.0014514923095703125,gp
9,0.0817575454711914,0.0016226768493652344,gp
10,0.09442758560180664,0.004288434982299805,gp
11,0.10356879234313965,0.0033445358276367188,gp
12,0.11353468894958496,0.0033712387084960938,gp
13,0.12344527244567871,0.0033111572265625,gp
14,0.13395380973815918,0.003818511962890625,gp
15,0.14310622215270996,0.002963542938232422,gp
16,0.1522960662841797,0.002155780792236328,gp
17,0.162766695022583,0.0026209354400634766,gp
18,0.17322778701782227,0.0030755996704101562,gp
19,0.18198871612548828,0.0018582344055175781,gp
20,0.19152140617370605,0.0013756752014160156,gp
21,0.2022092342376709,0.0020732879638671875,gp
22,0.2142629623413086,0.002871990203857422,gp
23,0.22214603424072266,0.0020334720611572266,gp
24,0.2317211627960205,0.0016071796417236328,gp
25,0.24196934700012207,0.0018303394317626953,gp
26,0.2522449493408203,0.00152587890625,gp
27,0.26259422302246094,0.0024743080139160156,gp
28,0.2716097831726074,0.0014913082122802734,gp
29,0.28188014030456543,0.0017657279968261719,gp
30,0.29146480560302734,0.0013675689697265625,gp
31,0.3015925884246826,0.001489400863647461,gp
32,0.31157755851745605,0.0014719963073730469,gp
33,0.321533203125,0.0014383792877197266,gp
34,0.33147597312927246,0.0013775825500488281,gp
35,0.34165096282958984,0.0015463829040527344,gp
36,0.3516829013824463,0.0015764236450195312,gp
37,0.3617517948150635,0.0016443729400634766,gp
38,0.3719789981842041,0.00145721435546875,gp
39,0.381803035736084,0.0016894340515136719,gp
40,0.3917217254638672,0.0016145706176757812,gp
41,0.40163183212280273,0.0015320777893066406,gp
42,0.411527156829834,0.0014328956604003906,gp
43,0.4218323230743408,0.0017397403717041016,gp
44,0.4315001964569092,0.0014002323150634766,gp
45,0.4414849281311035,0.0013949871063232422,gp
46,0.45196962356567383,0.001726388931274414,gp
47,0.4616122245788574,0.0015101432800292969,gp
48,0.47147607803344727,0.0013713836669921875,gp
49,0.4819028377532959,0.0017726421356201172,gp
50,0.49157023429870605,0.0014646053314208984,gp
51,0.5018470287322998,0.001753091812133789,gp
52,0.5118098258972168,0.0017120838165283203,gp
53,0.5216541290283203,0.0015020370483398438,gp
54,0.5319604873657227,0.001478433609008789,gp
55,0.5416643619537354,0.0015184879302978516,gp
56,0.5514717102050781,0.0013680458068847656,gp
57,0.5616168975830078,0.0015153884887695312,gp
58,0.5714292526245117,0.0013308525085449219,gp
59,0.5820109844207764,0.0019099712371826172,gp
60,0.591423511505127,0.001325368881225586,gp
61,0.6016106605529785,0.0015137195587158203,gp
62,0.6119494438171387,0.001390695571899414,gp
63,0.621523380279541,0.0014259815216064453,gp
64,0.6314489841461182,0.0013654232025146484,gp
65,0.6421959400177002,0.0020766258239746094,gp
66,0.6515984535217285,0.0014879703521728516,gp
67,0.6616156101226807,0.0015227794647216797,gp
68,0.6716263294219971,0.001531839370727539,gp
69,0.6816592216491699,0.0015532970428466797,gp
70,0.6915278434753418,0.0014383792877197266,gp
71,0.702035665512085,0.0019369125366210938,gp
72,0.7115869522094727,0.00148773193359375,gp
73,0.7217020988464355,0.0016071796417236328,gp
74,0.7316250801086426,0.0015342235565185547,gp
75,0.7418889999389648,0.0017940998077392578,gp
76,0.7515735626220703,0.0014824867248535156,gp
77,0.7618429660797119,0.001752614974975586,gp
78,0.7715809345245361,0.0014903545379638672,gp
79,0.7818825244903564,0.001767873764038086,gp
80,0.7916436195373535,0.001537322998046875,gp
81,0.8017158508300781,0.0016198158264160156,gp
82,0.8116106986999512,0.0015194416046142578,gp
83,0.8217880725860596,0.0016753673553466797,gp
84,0.8319807052612305,0.0018687248229980469,gp
